ID,Time,
1TOS94VX1FT0LV6AA4,11:35:33,0:29:27
1TOS94VX1FT0LV6AA4,12:05:00,FALSE
1TOS9K7X1FVQDJ6AAJ,11:55:00,0:38:22
1TOS9K7X1FVQDJ6AAJ,12:33:22,FALSE
1TOS9SDX1FT1G11AF3,10:52:48,0:50:12
1TOS9SDX1FT1G11AF3,11:43:00,FALSE
1TOSC8EX1FTE22MAA6,12:22:23,0:05:10
1TOSC8EX1FTE22MAA6,12:27:33,FALSE
1TOSD0PX1DOG83RAFZ,10:50:00,0:36:16
1TOSD0PX1DOG83RAFZ,11:26:16,FALSE
1TOSEA6X1GBS70IAAF,11:49:00,0:09:00
1TOSEA6X1GBS70IAAF,11:58:00,FALSE
1TOSGCPX1DUK765AFU,11:53:00,0:27:00
1TOSGCPX1DUK765AFU,12:20:00,FALSE
1TOSHFPX15T9CJSAFR,10:37:00,0:46:00
1TOSHFPX15T9CJSAFR,11:23:00,FALSE
1TOSI0CX1GBE773AF3,10:37:00,0:46:00
1TOSI0CX1GBE773AF3,11:23:00,FALSE
1TOSIR9X1G9K7S4ASZ,11:15:00,0:06:29
1TOSIR9X1G9K7S4ASZ,11:21:29,FALSE
1TOSJCNX1G0UNNEAFX,10:47:00,0:50:00
1TOSJCNX1G0UNNEAFX,11:37:00,FALSE
1TOSK1DX1GAPHAQASM,11:05:00,0:09:37
1TOSK1DX1GAPHAQASM,11:14:37,FALSE
1TOSLNAX1G85E48NAE,11:36:23,0:05:37
1TOSLNAX1G85E48NAE,11:42:00,FALSE
1TOSMMCX1G96GIOAAQ,12:22:20,0:03:23
1TOSMMCX1G96GIOAAQ,12:25:43,FALSE
1TOSN44X1G95I7NAAW,11:49:00,0:08:00
1TOSN44X1G95I7NAAW,11:57:00,FALSE
1TOSOIHX19G9S0GAFW,10:38:00,0:49:00
1TOSOIHX19G9S0GAFW,11:27:00,FALSE
1TOSOKUX137UO1VAAT,11:35:04,0:59:36
1TOSOKUX137UO1VAAT,12:34:40,FALSE
1TOSQCQX1FV8L3OAAO,12:33:23,23:21:37
1TOSQCQX1FV8L3OAAO,11:55:00,FALSE
1TOST5MX1G8OAN3AML,11:20:00,0:43:00
1TOST5MX1G8OAN3AML,12:03:00,FALSE
1TOSTECX163N6GNNFC,11:42:00,FALSE
1TOSUR4X15TF5KKNAH,12:22:27,0:07:29
1TOSUR4X15TF5KKNAH,12:29:56,FALSE
1TOSUULX1G37EO8AFL,10:52:00,0:40:00
1TOSUULX1G37EO8AFL,11:32:00,FALSE
1TOT04SX1G0VKPGAFR,11:02:42,0:40:18
1TOT04SX1G0VKPGAFR,11:43:00,FALSE
1TOT0FHX1FTM3RJAMS,12:03:50,0:09:43
1TOT0FHX1FTM3RJAMS,12:13:33,FALSE
1TOT0UEX1ES13LIAFB,11:43:00,0:29:42
1TOT0UEX1ES13LIAFB,12:12:42,FALSE
